snps	gene	statistic	pvalue	FDR	beta	snp_chr	snp_pos	gene_chr	gene_start	gene_end	tissue
rs9824198	ENSG00000169032.5	-6.71515630374058	3.89244074130086e-09	0.0416316583351944	-0.260761592224242	chr3	121483363	chr15	66679155	66784650	brainnucleusaccumbensbasalganglia
rs7625529	ENSG00000169032.5	-6.71515630374058	3.89244074130086e-09	0.0416316583351944	-0.260761592224242	chr3	121485893	chr15	66679155	66784650	brainnucleusaccumbensbasalganglia
rs318429	ENSG00000103199.9	-6.6407819024423	5.31479760759155e-09	0.0454755980271676	-0.600149457959585	chr6	2876535	chr16	4798240	4817625	brainnucleusaccumbensbasalganglia
rs6511291	ENSG00000142621.15	6.67026723390806	4.92427162437498e-10	0.0225185552293605	0.484706079947844	chr19	21950402	chr1	15573768	15726779	breastmammarytissue
rs7252798	ENSG00000142621.15	-6.63222785966804	6.0044917197921e-10	0.0225185552293605	-0.483399463652169	chr19	21908053	chr1	15573768	15726779	breastmammarytissue
rs7246400	ENSG00000142621.15	6.3612850435057	2.42522073846817e-09	0.0606351263811073	0.468644850063782	chr19	21909948	chr1	15573768	15726779	breastmammarytissue
rs2436996	ENSG00000204822.6	6.27411305930473	3.77589065763531e-09	0.0708033304748493	0.470761961572023	chr15	76817420	chr2	74699085	74700449	breastmammarytissue
rs962993	ENSG00000138379.4	8.07958339085722	3.66278449576587e-14	2.48890810085113e-06	0.456953190134024	chr10	9053132	chr2	190920423	190927455	cellstransformedfibroblasts
rs1031163	ENSG00000138379.4	8.07158580239817	3.85466858116255e-14	2.48890810085113e-06	0.455823771923652	chr10	9057422	chr2	190920423	190927455	cellstransformedfibroblasts
rs7253357	ENSG00000166900.10	-6.72054071547435	1.41025273749354e-10	0.00607054257919548	-0.300633740988636	chr19	58779369	chr11	59480929	59573354	cellstransformedfibroblasts
rs491121	ENSG00000177427.8	6.37023468689823	1.01690283309778e-09	0.0328300299465979	0.242170466447545	chr18	314592	chr17	18163848	18169866	cellstransformedfibroblasts
rs73877376	ENSG00000174780.11	-6.32720121858724	1.29007270010789e-09	0.0333193095736082	-0.293614923513131	chr22	19857207	chr4	57333081	57369839	cellstransformedfibroblasts
rs2276182	ENSG00000162631.14	6.5914196873091	3.64826912071627e-10	0.0408914374816641	0.528873426183782	chr18	51798047	chr1	107682629	108026080	esophagusmucosa
rs2249632	ENSG00000197182.8	6.47558146235792	6.91736303179277e-10	0.0408914374816641	0.40448424441695	chr1	209605102	chr22	46449749	46509808	esophagusmucosa
rs7779	ENSG00000204618.4	6.53477441206121	6.26802463576961e-10	0.0702247667465895	0.814932896458471	chr1	246930564	chr6	30038043	30043664	esophagusmuscularis
rs6511291	ENSG00000165661.11	8.37705312118774	1.74675308362529e-15	1.79793350793649e-07	0.333002183867865	chr19	21950402	chr9	139098179	139137687	muscleskeletal
rs12659708	ENSG00000178685.9	7.89162739708245	4.82034827698023e-14	2.4807930120036e-06	0.275366600469628	chr5	131789863	chr8	145051321	145086940	muscleskeletal
rs1012793	ENSG00000092010.10	7.06541762833963	1.0108392320741e-11	0.000346819048347474	0.335089714619872	chr5	131781345	chr14	24605367	24608176	muscleskeletal
rs1012793	ENSG00000178685.9	6.34225943917334	7.74098064713337e-10	0.0190337560055213	0.264914715971689	chr5	131781345	chr8	145051321	145086940	muscleskeletal
rs2706381	ENSG00000092010.10	6.31138819204801	9.24596817647997e-10	0.0190337560055213	0.321056247918778	chr5	131810619	chr14	24605367	24608176	muscleskeletal
rs2706381	ENSG00000178685.9	6.19904338317799	1.75548211109763e-09	0.0301153049784512	0.274592439181252	chr5	131810619	chr8	145051321	145086940	muscleskeletal
rs17881219	ENSG00000100445.12	-6.48558019221455	6.02512827891371e-10	0.0967073758381533	-0.768540606502352	chr16	70504885	chr14	24908972	24912111	nervetibial
rs2815301	ENSG00000100316.11	10.5738405488831	1.5371238931994e-18	5.61276061887904e-11	1.05363064856899	chr16	2004718	chr22	39708887	39716394	pancreas
rs6366	ENSG00000100316.11	10.5724140316311	1.54887170284266e-18	5.61276061887904e-11	1.01737986487742	chr16	2014031	chr22	39708887	39716394	pancreas
rs6511291	ENSG00000142621.15	8.1510463871606	1.53332809527254e-14	2.18154653420206e-06	0.550348707739734	chr19	21950402	chr1	15573768	15726779	skinsunexposedlowerleg
rs12972593	ENSG00000142621.15	7.52646159867065	8.5517483756769e-13	6.08351111802004e-05	0.525258285120042	chr19	21932574	chr1	15573768	15726779	skinsunexposedlowerleg
rs289750	ENSG00000168394.9	-6.36088579818577	8.9835378294853e-10	0.0426045060136619	-0.296521225158077	chr16	57026764	chr6	32812986	32821755	skinsunexposedlowerleg
rs10916990	ENSG00000113594.5	-7.02348054516203	3.45231518607967e-09	0.0939164854230054	-0.438936126283399	chr1	21763132	chr5	38475065	38608456	smallintestineterminalileum
rs892596	ENSG00000259817.1	-10.855587864216	1.3871410729165e-19	2.72069384834729e-11	-0.855005850874045	chr19	45003267	chr16	73846520	73849953	testis
rs62026997	ENSG00000266967.2	-10.07908746566	1.02453887690961e-17	1.00474878663203e-09	-0.690426439394839	chr15	102312835	chr17	41102543	41116515	testis
rs1558438	ENSG00000231196.3	-8.59147431366882	3.55921081518988e-14	2.3269738406391e-06	-0.680844406592512	chr2	210670965	chr1	147762996	147767966	testis
rs1558438	ENSG00000174567.7	-8.11414702735525	4.61902296515424e-13	2.26490073937607e-05	-0.602548126555594	chr2	210670965	chr1	204167288	204183220	testis
rs932996	ENSG00000167065.9	-7.82924043804772	2.09391318705679e-12	8.21386784405541e-05	-0.568159690602616	chr10	59866430	chr22	31048038	31063877	testis
rs74035815	ENSG00000266967.2	6.7936769930936	4.36747445912098e-10	0.0142770396918617	0.470148684978112	chr15	102306252	chr17	41102543	41116515	testis
rs1657121	ENSG00000003756.12	-6.43580501211297	2.57920164172304e-09	0.0722680439367819	-0.358350065385535	chr16	1908339	chr3	50126341	50156454	testis
rs1867277	ENSG00000232070.4	-10.0004270932309	7.38336355025114e-20	1.20850218274409e-11	-0.535498550398073	chr9	100615914	chr14	21567096	21571883	thyroid
rs1867277	ENSG00000112379.8	-9.32290807811374	8.43618330431017e-18	6.90413377852791e-10	-0.557412738843724	chr9	100615914	chr6	138483058	138665800	thyroid
rs149110519	ENSG00000182749.5	6.83634134117586	4.64527743277577e-11	0.0045092671470494	0.545367164953399	chr6	144385777	chr1	26187701	26197744	wholeblood
